Reporting period,Organization,Donor,Cluster,ACTIVITY DESCRIPTION,Implementing Partners,Region,District,SPECIFIC LOCATION ,RURAL/URBAN         ,Status,DURATION,Start Date,End Date,Y_COORD,X_COORD
Periode I,ACTED,SHF,CCCM,"Full CCCM response including: committee creation/support, site monitoring, site coordination, care and maintenance, capacity building, and CwC work",,Bay,Baydhaba,Baidoa IDPs,Urban,Completed,9 months,6/17/2018,9/3/2019,,
Periode I,ACTED,OFDA,CCCM,"CCCM respnse comprised of coordination, monitoring, creation of CMCs, training of CMC, information management at site level, site maintenance. Shetler component (transitional shelters plus ESK) and Protection component ",,Bay,Baydhaba,Baidoa IDPs,Urban,Ongoing,12 months ,1/9/2018,8/31/2019,,
Periode I,ACTED,SHF,CCCM,"Full CCCM response including: committee creation/support, site monitoring, site coordination, care and maintenance, capacity building, and CwC work",,Bay,Baydhaba,Baidoa IDPs,Urban,Ongoing,12 months ,12/31/2018,12/30/2019,,
Periode I,ACTED,ECHO,CCCM,"Integrated CCCM/WASH/SNFI response focusing on core CCCM principles such as monitoring, coordination, community participation, CwC, site maintenance, information management and capacity building ",SADO,Lower Juba,Kismaayo,Galbeedt Area ,Urban,Completed,12 months ,4/3/2018,2/28/2019,,
Periode I,ACTED,ECHO,CCCM,"Integrated CCCM/WASH/SNFI response focusing on core CCCM principles such as monitoring, coordination, community participation, CwC, site maintenance, information management and capacity building ",SADO,Lower Juba,Kismaayo,Galbeedt Area ,Urban,Ongoing,12 months ,1/1/2019,12/31/2019,,
Periode I,ACTED,OFDA,CCCM,"CCCM respnse comprised of coordination, monitoring, creation of CMCs, training of CMC, information management at site level, site maintenance. Protection Component ",SADO,Lower Juba,Kismaayo,Galbeedt Area ,Urban,Ongoing,12 months ,1/9/2018,8/31/2019,,
Periode I,ACTED,ECHO,CCCM,"CCCM response comprised of coordination, capacity building, monitoring, information management, CwC and community engagement",,Nugaal,Garowe,Garowe Urban,Urban,Completed,12 months ,4/3/2018,2/28/2019,,
Periode I,ACTED,SHF,CCCM,"Full CCCM response including: committee creation/support, site monitoring, site coordination, care and maintenance, capacity building, and CwC work",,Nugaal,Garowe,Garowe and Burtinle IDP Sites,Urban,Ongoing,12 months ,6/3/2018,4/29/2019,,
Periode I,ACTED,SHF,CCCM,Integrated CCCM/WASH/SNFI,,Sanaag,Laasqoray ,Scattered ,Rural/Peri Urban ,Ongoing,12 months ,9/15/2018,9/14/2019,,
Periode I,ACTED,DAP,CCCM,Integrated CCCM/WASH,,Sanaag,Laasqoray ,Scattered ,Rural/Peri Urban ,Ongoing,12 months ,1/12/2018,11/30/2019,,
Periode I,ACTED,SHF,CCCM,CCCM Stand alone ,,Woqooyi Galbeed,Hargeysa,Hargheisa ,Urban,Ongoing,12 months ,12/20/2018,12/19/2019,,
Periode I,ACTED,ECHO,CCCM,"Integrated CCCM/WASH/SNFI response focusing on core CCCM principles such as monitoring, coordination, community participation, CwC, site maintenance, information management and capacity building ",,Woqooyi Galbeed,Hargeysa,Hargheisa ,Urban,Ongoing,12 months ,1/1/2019,12/31/2019,,
